F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
2,75,3,1,1,1,3,1,9,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,2,,4,
2,24,4,3,1,1,1,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,3,4,4,,4,
2,45,2,4,2,2,1,3,,,,,1,,,,,,3,2,,",,,,,,,1,",5,5,3,2,,4,
2,26,3,9,2,1,1,1,9,,,,,,,,,,1,2,,",,,,,,,1,",5,1,1,2,,2,
1,55,3,6,2,1,6,2,3,,,,,,,,,,1,2,,",,,1,1,,,,",5,1,4,2,1,,
2,32,4,7,2,1,9,2,3,,,,,,,,,,3,2,,",,,,,1,,,",5,3,4,2,,,4
2,47,2,1,1,1,9,4,,,,,,1,1,,,,1,2,,",,,,1,,,,",5,4,5,2,4,,
2,44,4,2,3,1,2,4,,,,,,,1,,,,1,2,,",1,,,1,1,,,",3,4,4,3,,,4
1,66,4,1,3,1,3,1,1,,,,,,,,,,1,2,,",1,1,1,,1,,,",4,1,2,2,,,3
1,45,3,9,1,2,6,1,6,,,,,,,,,,1,2,,",,,,,,,,",2,2,2,1,3,,
2,64,4,10,3,1,9,2,3,,,,,,,,,,4,2,,"1,,,,,,,,",2,2,2,2,,2,
2,48,2,6,1,2,2,1,3,,,,,,,,,,4,2,,",,,,,,,1,",5,5,5,5,,2,
2,52,3,3,1,1,4,3,,,1,,,,,,,,8,,8,",,,,,1,,,",4,2,4,2,,3,
1,74,4,7,1,1,3,4,,,,,,1,,,,,1,2,,",,,,1,1,,,",3,1,3,2,,,5
2,32,4,9,2,2,1,4,,,,,,,1,,,,8,,8,",,,,,,,1,",3,3,3,3,,4,
1,34,3,1,1,1,3,1,9,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,,2,
2,39,2,4,2,2,3,2,4,,,,,,,,,,3,2,,",,,,,1,,,",3,2,1,2,,,4
2,61,3,1,2,1,7,2,5,,,,,,,,,,8,,6,",1,,,1,1,,,",5,1,3,2,3,,
